 ra|dec|name|proper_motion_ra|proper_motion_ra_unc|proper_motion_dec|proper_motion_dec_unc|publication_id|V_tan|V_tan_unc|source_id
 202.95381| -1.28081|SDSS J133148.92-011651.4 |-0.4070| 0.0190|-1.0300| 0.0140|210|119.0|11.0|2124
 203.10177| -4.68682|2MASS J13322442-0441126| 0.0800| 0.0900| 0.0500| 0.0800|236|9.0| 9.0|660
 203.11917|+26.58556|2MASSI J1332286+263508 |-0.1520| 0.0120| 0.0410| 0.0170|210| 42.0| 5.0|
 203.52591|+19.67649|2MASSW J1334062+194034 |-0.0580| 0.0120| 0.0980| 0.0160|210| 25.0| 4.0|
 204.16913|+37.72303|2MASS J13364062+3743230|-0.2000| 0.0090|-0.0600| 0.0140|210| 30.0| 2.0|664
 204.37984|+49.64354|2MASS J13373116+4938367| 0.0390| 0.0160| 0.0490| 0.0250|219|8.0| 3.0|663
 204.60886|+41.67602|2MASSW J1338261+414034 |-0.1530| 0.0240|-0.3110| 0.0250|210| 37.0| 4.0|
 204.70599| +4.62543|2MASS J13384944+0437315| 0.1120| 0.0140|-0.2240| 0.0130|210| 32.0| 3.0|339
 204.86042|-17.91815|2MASS J13392651-1755053|-0.1900| 0.0200|-0.0700| 0.0200|209| 30.0| 4.0|656
 205.29834|-30.88072|2MASS J13411160-3052505| 0.0300| 0.0130|-0.1340| 0.0150|219| 16.0| 2.0|819
 205.51296|+13.67283|SDSS J134203.11+134022.2 | 0.0000| 0.0190|-0.0270| 0.0190|219|5.0| 4.0|
 205.59840|+17.86550|2MASSW J1342236+175156 |-0.0700| 0.0110|-0.0020| 0.0080|210| 18.0| 3.0|
 205.81937|+39.75247|2MASSW J1343167+394508 |-0.3430| 0.0310| 0.1160| 0.0250|210| 47.0| 6.0|78
 205.96978|-38.86070|2MASS J13435275-3851385|-0.0440| 0.0140|-0.0160| 0.0180|219|8.0| 2.0|666
 206.69324| -0.53055|SDSSp J134646.45-003150.4|-0.5030| 0.0030|-0.1140| 0.0020|243| 35.8| 1.4|1363
 206.99624|-76.16817|2MASS J13475911-7610054| 0.2030| 0.0050| 0.0380| 0.0200|219| 25.0| 3.0|
 206.99624|-76.16817|DENIS-P J1347590-761005| 0.2030| 0.0050| 0.0380| 0.0200|219| 25.0| 3.0|
 207.00419| -3.07583|2MASS J13480100-0304328| 0.1910| 0.0200|-0.4080| 0.0200|219| 54.0| 7.0|
 207.19128| +3.89849|2MASS J13484591+0353545| 0.2070| 0.0230|-0.3560| 0.0110|210| 66.0| 9.0|668
