source_id,ra,dec,name,proper_motion_ra,proper_motion_ra_unc,proper_motion_dec,proper_motion_dec_unc,publication_id
356,128.77592,+19.88472,SDSS J083506.16+195304.4,-0.158,0.013,-0.108,0.014,290
,128.84858,+10.49217,2MASS J08352366+1029318,-0.050,0.022,-0.179,0.022,290
72,128.99287,+5.80856,2MASS J08355829+0548308,-0.099,0.021,-0.020,0.021,290
861,129.81700,+12.89842,2MASS J08391608+1253543,-0.044,0.015,-0.127,0.016,290
614,131.86967,-15.54367,2MASSI J0847287-153237,0.145,0.012,-0.183,0.013,290
616,132.50725,-19.40511,2MASS J08500174-1924184,-0.116,0.017,0.045,0.018,290
,132.81779,+18.29172,SDSS J085116.20+181730.0,-0.195,0.018,-0.050,0.019,290
,133.14542,+47.34331,SDSS J085234.90+472035.0,-0.069,0.018,-0.418,0.026,290
748,134.19971,+22.58839,2MASSI J0856479+223518,-0.208,0.017,-0.006,0.018,290
745,134.36612,-3.54433,2MASS J08572787-0332396,-0.150,0.018,-0.056,0.018,290
234,134.49371,+57.14761,SDSSp J085758.45+570851.4,-0.413,0.006,-0.349,0.012,290
1395,134.64446,+32.94097,SDSS J085834.42+325627.7,-0.760,0.023,0.075,0.023,290
743,134.85612,-19.82411,2MASSI J0859254-194926,-0.300,0.013,-0.081,0.014,290
,134.91058,+63.69319,2MASS J08593854+6341355,-0.096,0.019,-0.495,0.042,290
232,134.91787,+11.75903,2MASS J08594029+1145325,-0.275,0.021,-0.060,0.021,290
239,136.44392,+56.38658,2MASS J09054654+5623117,-0.014,0.017,0.089,0.031,290
538,137.25354,+65.42431,SDSS J090900.73+652527.2,-0.217,0.003,-0.138,0.008,290
1325,137.48954,-6.97183,DENIS-P J0909-0658,-0.210,0.018,0.015,0.019,290
,138.26333,+18.69725,2MASSW J0913032+184150,0.032,0.016,-0.187,0.017,290
312,138.89221,+4.36792,2MASS J09153413+0422045,-0.109,0.025,0.031,0.025,290
271,139.06267,+21.66422,2MASS J09161504+2139512,-0.199,0.017,-0.054,0.018,290
,139.65896,+21.56828,2MASSW J0918382+213406,0.330,0.015,-0.156,0.017,290
1396,140.05096,+35.29525,2MASSW J0920122+351742,-0.167,0.009,-0.200,0.010,290
484,140.30875,-21.07906,2MASS J09211410-2104446,0.244,0.016,-0.908,0.017,290
490,140.58133,-80.17775,2MASS J09221952-8010399,0.041,0.004,-0.045,0.022,290
,141.98921,+60.46289,SDSS J092757.46+602746.3,0.003,0.013,0.016,0.025,290
,142.10675,+42.51514,2MASS J09282562+4230545,-0.390,0.019,-0.378,0.025,290
403,142.16550,-16.05356,2MASSW J0928397-160312,-0.158,0.017,0.034,0.017,290
,142.78979,+3.45919,SDSS J093109.56+032732.5,-0.612,0.018,-0.131,0.018,290
,142.86762,+5.47286,2MASS J09312823+0528223,-0.142,0.021,-0.204,0.021,290
657,143.62167,-13.87872,2MASS J09342920-1352434,-0.238,0.016,-0.127,0.017,290
121,143.86679,-29.58322,2MASS J09352803-2934596,-0.023,0.016,0.064,0.018,290
,144.66758,-27.80511,2MASS J09384022-2748184,-0.408,0.017,-0.164,0.020,290
1326,144.89783,-24.80775,2MASS J09393548-2448279,0.592,0.019,-1.064,0.021,290
,145.69183,+55.51736,2MASS J09424604+5531025,-0.066,0.018,0.085,0.032,290
,146.93654,+2.40908,2MASS J09474477+0224327,-0.081,0.020,-0.162,0.020,290
415,148.33858,-10.23903,2MASS J09532126-1014205,-0.048,0.019,-0.089,0.019,290
1331,151.16371,-33.58858,2MASSW J1004392-333518,0.366,0.016,-0.340,0.019,290
,151.79937,+19.51564,SDSS J100711.74+193056.2,-0.263,0.015,-0.018,0.016,290
1332,151.89037,-45.92075,2MASS J10073369-4555147,-0.758,0.013,0.138,0.019,290
533,154.67975,-16.40758,2MASS J10184314-1624273,0.053,0.015,-0.017,0.016,290
1335,154.74496,-29.16486,2MASSW J1018588-290953,-0.319,0.017,-0.086,0.019,290
,155.38467,-20.73525,2MASS J10213232-2044069,-0.312,0.016,-0.051,0.017,290
602,155.52037,+2.01325,2MASS J10220489+0200477,-0.178,0.018,-0.394,0.018,290
70,156.46779,+32.20969,SDSS J102552.43+321234.0,0.393,0.011,-0.228,0.013,290
377,157.16842,-14.64553,2MASS J10284042-1438439,0.024,0.016,-0.162,0.016,290
606,158.07108,+5.01756,2MASS J10321706+0501032,-0.032,0.021,-0.012,0.021,290
,158.34108,+40.09719,SDSS J103321.92+400549.5,0.154,0.013,-0.188,0.018,290
1338,159.22104,-34.69389,2MASSW J1036530-344138,-0.020,0.015,-0.462,0.019,290
1415,159.88071,+32.94064,SDSS J103931.35+325625.5,0.031,0.046,-0.023,0.054,290
286,160.78158,+22.42322,2MASS J10430758+2225236,-0.117,0.015,0.013,0.016,290
,160.85450,+0.03006,SDSSp J104325.10+000148.2,-0.161,0.019,-0.156,0.019,290
1339,160.89617,+12.22081,SDSS J104335.08+121314.1,0.046,0.017,-0.248,0.018,290
,161.32158,-26.12358,2MASS J10451718-2607249,-0.162,0.017,-0.146,0.019,290
1416,162.12192,+9.32703,SDSS J104829.21+091937.8,-0.268,0.020,0.241,0.020,290
1417,163.05625,+44.38219,SDSS J105213.51+442255.7,0.018,0.017,-0.152,0.024,290
520,163.67367,+12.23567,2MASS J10544168+1214084,0.103,0.018,-0.080,0.019,290
524,164.69946,-15.80478,DENIS-P J1058.7-1548,-0.237,0.015,0.014,0.015,290
445,165.04021,+49.96306,2MASS J11000965+4957470,-0.133,0.018,-0.151,0.028,290
